id,name,q,r,terrain,icon,colour,description
1000,"Unnamed",0,0,"Unexplored","None","rgb(0, 0, 102)",""
1001,"Unnamed",0,1,"Unexplored","None","rgb(0, 3, 102)",""
1002,"Unnamed",0,2,"Unexplored","None","rgb(0, 6, 102)",""
1003,"Unnamed",0,3,"Unexplored","None","rgb(0, 9, 102)",""
1004,"Unnamed",0,4,"Unexplored","None","rgb(0, 12, 102)",""
1005,"Unnamed",0,5,"Unexplored","None","rgb(0, 15, 102)",""
1006,"Unnamed",0,6,"Unexplored","None","rgb(0, 18, 102)",""
1007,"Unnamed",0,7,"Unexplored","None","rgb(0, 21, 102)",""
1008,"Unnamed",0,8,"Unexplored","None","rgb(0, 24, 102)",""
1009,"Unnamed",0,9,"Unexplored","None","rgb(0, 27, 102)",""
1010,"Unnamed",0,10,"Unexplored","None","rgb(0, 30, 102)",""
1011,"Unnamed",0,11,"Unexplored","None","rgb(0, 33, 102)",""
1012,"Unnamed",0,12,"Unexplored","None","rgb(0, 36, 102)",""
1013,"Unnamed",0,13,"Unexplored","None","rgb(0, 39, 102)",""
1014,"Unnamed",0,14,"Unexplored","None","rgb(0, 42, 102)",""
1015,"Unnamed",0,15,"Unexplored","None","rgb(0, 45, 102)",""
1016,"Unnamed",0,16,"Unexplored","None","rgb(0, 48, 102)",""
1017,"Unnamed",0,17,"Unexplored","None","rgb(0, 51, 102)",""
1018,"Unnamed",0,18,"Unexplored","None","rgb(0, 54, 102)",""
1019,"Unnamed",0,19,"Unexplored","None","rgb(0, 57, 102)",""
1020,"Unnamed",0,20,"Unexplored","None","rgb(0, 60, 102)",""
1021,"Unnamed",0,21,"Unexplored","None","rgb(0, 63, 102)",""
1022,"Unnamed",0,22,"Unexplored","None","rgb(0, 66, 102)",""
1023,"Unnamed",0,23,"Unexplored","None","rgb(0, 69, 102)",""
1024,"Unnamed",0,24,"Unexplored","None","rgb(0, 72, 102)",""
1025,"Unnamed",0,25,"Unexplored","None","rgb(0, 75, 102)",""
1026,"Unnamed",0,26,"Unexplored","None","rgb(0, 78, 102)",""
1027,"Unnamed",0,27,"Unexplored","None","rgb(0, 81, 102)",""
1028,"Unnamed",0,28,"Unexplored","None","rgb(0, 84, 102)",""
1029,"Unnamed",0,29,"Unexplored","None","rgb(0, 87, 102)",""
1030,"Unnamed",0,30,"Unexplored","None","rgb(0, 90, 102)",""
1031,"Unnamed",0,31,"Unexplored","None","rgb(0, 93, 102)",""
1032,"Unnamed",0,32,"Unexplored","None","rgb(0, 96, 102)",""
1033,"Unnamed",0,33,"Unexplored","None","rgb(0, 99, 102)",""
1034,"Unnamed",0,34,"Unexplored","None","rgb(0, 102, 102)",""
1035,"Unnamed",0,35,"Unexplored","None","rgb(0, 105, 102)",""
1036,"Unnamed",0,36,"Unexplored","None","rgb(0, 108, 102)",""
1037,"Unnamed",0,37,"Unexplored","None","rgb(0, 111, 102)",""
1038,"Unnamed",0,38,"Unexplored","None","rgb(0, 114, 102)",""
1039,"Unnamed",0,39,"Unexplored","None","rgb(0, 117, 102)",""
1040,"Unnamed",0,40,"Unexplored","None","rgb(0, 120, 102)",""
1041,"Unnamed",0,41,"Unexplored","None","rgb(0, 123, 102)",""
1042,"Unnamed",0,42,"Unexplored","None","rgb(0, 126, 102)",""
1043,"Unnamed",1,0,"Unexplored","None","rgb(5, 0, 102)",""
1044,"Unnamed",1,1,"Unexplored","None","rgb(5, 3, 102)",""
1045,"Unnamed",1,2,"Unexplored","None","rgb(5, 6, 102)",""
1046,"Unnamed",1,3,"Unexplored","None","rgb(5, 9, 102)",""
1047,"Unnamed",1,4,"Unexplored","None","rgb(5, 12, 102)",""
1048,"Unnamed",1,5,"Unexplored","None","rgb(5, 15, 102)",""
1049,"Unnamed",1,6,"Unexplored","None","rgb(5, 18, 102)",""
1050,"Unnamed",1,7,"Unexplored","None","rgb(5, 21, 102)",""
1051,"Unnamed",1,8,"Unexplored","None","rgb(5, 24, 102)",""
1052,"Unnamed",1,9,"Unexplored","None","rgb(5, 27, 102)",""
1053,"Unnamed",1,10,"Unexplored","None","rgb(5, 30, 102)",""
1054,"Unnamed",1,11,"Unexplored","None","rgb(5, 33, 102)",""
1055,"Unnamed",1,12,"Unexplored","None","rgb(5, 36, 102)",""
1056,"Unnamed",1,13,"Unexplored","None","rgb(5, 39, 102)",""
1057,"Unnamed",1,14,"Unexplored","None","rgb(5, 42, 102)",""
1058,"Unnamed",1,15,"Unexplored","None","rgb(5, 45, 102)",""
1059,"Unnamed",1,16,"Unexplored","None","rgb(5, 48, 102)",""
1060,"Unnamed",1,17,"Unexplored","None","rgb(5, 51, 102)",""
1061,"Unnamed",1,18,"Unexplored","None","rgb(5, 54, 102)",""
1062,"Unnamed",1,19,"Unexplored","None","rgb(5, 57, 102)",""
1063,"Unnamed",1,20,"Unexplored","None","rgb(5, 60, 102)",""
1064,"Unnamed",1,21,"Unexplored","None","rgb(5, 63, 102)",""
1065,"Unnamed",1,22,"Unexplored","None","rgb(5, 66, 102)",""
1066,"Unnamed",1,23,"Unexplored","None","rgb(5, 69, 102)",""
1067,"Unnamed",1,24,"Unexplored","None","rgb(5, 72, 102)",""
1068,"Unnamed",1,25,"Unexplored","None","rgb(5, 75, 102)",""
1069,"Unnamed",1,26,"Unexplored","None","rgb(5, 78, 102)",""
1070,"Unnamed",1,27,"Unexplored","None","rgb(5, 81, 102)",""
1071,"Unnamed",1,28,"Unexplored","None","rgb(5, 84, 102)",""
1072,"Unnamed",1,29,"Unexplored","None","rgb(5, 87, 102)",""
1073,"Unnamed",1,30,"Unexplored","None","rgb(5, 90, 102)",""
1074,"Unnamed",1,31,"Unexplored","None","rgb(5, 93, 102)",""
1075,"Unnamed",1,32,"Unexplored","None","rgb(5, 96, 102)",""
1076,"Unnamed",1,33,"Unexplored","None","rgb(5, 99, 102)",""
1077,"Unnamed",1,34,"Unexplored","None","rgb(5, 102, 102)",""
1078,"Unnamed",1,35,"Unexplored","None","rgb(5, 105, 102)",""
